ANNEE,SESN,CD_COURS,REG_ADM,RES_ENS,CD_ORGNS_RESP,CD_ORGNS2,NO_GROUP_ELEVE,ELEVE_NOTE,MOYEN_NEB,PCT_REUST_NEB,MOYEN_NEM,PCT_REUST_NEM,MOYEN_NMB,PCT_REUST_NMB,MOYEN_NMC,PCT_REUST_NMC,MOYEN_RF,PCT_REUST_RF
2020,1,134520,16,PU,,,,78,82.8,94.9,,,,,,,82.8,94.9
2020,1,134520,16,PR,,,,7,76.9,100,,,,,,,76.9,100
2020,1,134520,16,,,,,85,82.3,95.3,,,,,,,82.3,95.3
2020,1,134520,,PU,,,,1006,72.9,84.5,,,,,,,72.9,84.5
2020,1,134520,,PR,,,,83,76.9,94,,,,,,,76.9,94
2020,1,134520,,,,,,1089,73.2,85.2,,,,,,,73.2,85.2
2020,1,134530,16,PU,866000,866052,20,3,61.5,50,58.5,50,58.7,33.3,58.7,33.3,58.7,33.3
2020,1,134530,16,PU,866000,866052,96,1,72,100,,,68,100,68,100,68,100
2020,1,134530,16,PU,866000,866052,,4,65,66.7,58.5,50,61,50,61,50,61,50
2020,1,134530,16,PU,866000,,,7,72,83.3,65.4,80,64.9,71.4,64.9,71.4,65.1,71.4
2020,1,134530,16,PU,,,,81,82.3,94.7,80.8,93.1,80.1,96.3,80.1,96.3,81.2,96.3
2020,1,134530,16,PR,,,,7,73.6,100,76.4,85.7,76.3,85.7,76.3,85.7,77.6,85.7
2020,1,134530,16,,,,,88,81.5,95.2,80.4,92.4,79.8,95.5,79.8,95.5,80.9,95.5
2020,1,134530,,PU,,,,988,72.1,87,72.7,84.8,72.6,87.9,72.6,87.9,74.3,89.7
2020,1,134530,,PR,,,,86,72.4,93.3,70.7,85.7,74.8,88.4,74.8,88.4,75,89.5
2020,1,134530,,,,,,1074,72.1,87.1,72.7,84.9,72.7,87.9,72.7,87.9,74.4,89.7
2020,1,65420,16,PU,866000,866053,80,2,,,,,34,0,34,0,34,0
2020,1,65420,16,PU,866000,866053,,2,,,,,34,0,34,0,34,0
2020,1,65420,16,PU,866000,,,3,,,,,44.7,33.3,44.7,33.3,44.7,33.3
2020,1,65420,16,PU,,,,33,66.6,68,55.7,29.2,54.5,42.4,54.5,42.4,56.1,42.4
2020,1,65420,16,PR,,,,5,81,100,,,82.6,100,82.6,100,82.6,100
2020,1,65420,16,,,,,38,67.2,69.2,55.7,29.2,58.2,50,58.2,50,59.6,50
2020,1,65420,,PU,,,,162,66,71.1,65.2,66,60.3,54.9,60.3,54.9,62.1,61.7
2020,1,65420,,PR,,,,63,63.9,62.5,67.7,78.6,66.4,66.7,66.4,66.7,66.7,66.7
2020,1,65420,,,,,,225,65.7,70,65.5,67.5,62,58.2,62,58.2,63.4,63.1
2020,1,65426,16,PU,866000,866053,??,1,,,,,,,,,53,0
2020,1,65426,16,PU,866000,866053,,1,,,,,,,,,53,0
2020,1,65426,16,PU,866000,,,2,,,,,,,,,54.5,0
2020,1,65426,16,PU,,,,32,,,,,,,,,60.7,40.6
2020,1,65426,16,PR,,,,5,,,,,,,,,75.6,80
2020,1,65426,16,,,,,37,,,,,,,,,62.7,45.9
2020,1,65426,,PU,,,,170,,,,,,,,,64.8,60.1
2020,1,65426,,PR,,,,68,,,,,,,,,70.7,69.1
2020,1,65426,,,,,,238,,,,,,,,,66.5,62.6
2020,1,132520,16,PU,866000,866053,80,1,,,,,79,100,79,100,79,100
2020,1,132520,16,PU,866000,866053,,1,,,,,79,100,79,100,79,100
2020,1,132520,16,PU,866000,,,14,63.6,66.7,57.7,54.5,60.1,50,60.1,50,61.7,64.3
2020,1,132520,16,PU,,,,195,65.8,78.4,59.9,56.9,58.2,48.2,58.2,48.2,60.1,54.4
2020,1,132520,16,PR,,,,12,,,,,66.4,75,66.4,75,66.4,75
2020,1,132520,16,,,,,207,65.8,78.4,59.9,56.9,58.6,49.8,58.6,49.8,60.5,55.6
2020,1,132520,,PU,,,,2178,59.7,52.4,61,57.5,59.7,54.8,59.7,54.8,61.9,60.7
2020,1,132520,,PR,,,,80,72.3,92.3,66.1,65.8,64,68.8,64,68.8,64.9,70
2020,1,132520,,GO,,,,1,,,,,74,100,74,100,74,100
2020,1,132520,,,,,,2259,60,53.3,61.1,57.7,59.8,55.3,59.8,55.3,62,61
2020,1,55410,16,PU,866000,866055,49,8,,,,,61,50,61,50,61,50
2020,1,55410,16,PU,866000,866055,,8,,,,,61,50,61,50,61,50
2020,1,55410,16,PU,866000,,,11,,,,,66.8,63.6,66.8,63.6,66.8,63.6
2020,1,55410,16,PU,,,,81,64.2,67.9,67.3,77.4,64.2,65.4,64.2,65.4,65.4,66.7
2020,1,55410,16,PR,,,,19,,,,,60.3,68.4,60.3,68.4,60.3,68.4
2020,1,55410,16,,,,,100,64.2,67.9,67.3,77.4,63.4,66,63.4,66,64.5,67
2020,1,55410,,PU,,,,940,63.7,65.1,65.3,69.8,63.6,66.1,63.6,66.1,64.7,68.9
2020,1,55410,,PR,,,,101,64.9,88.9,68.3,75,62.8,67.3,62.8,67.3,63,67.3
2020,1,55410,,GO,,,,19,,,,,62.1,57.9,62.1,57.9,62.1,57.9
2020,1,55410,,,,,,1060,63.8,65.5,65.3,69.9,63.5,66,63.5,66,64.5,68.6
